source,target,value
Dynamics-Collision in 2-dimension,Rotational motion at constant angular acceleration,0.2
Dynamics-Collision in 2-dimension,Centripetal acceleration and centripetal force,0.2
Dynamics-Collision in 2-dimension,Rotational motion on horizontal and vertical planes,0.2
Dynamics-Collision in 2-dimension,Conical pendulum,0.2
Dynamics-Collision in 2-dimension,Centre of mass and torque,0.2
Dynamics-Collision in 2-dimension,Moment of inertia and parallel axis theorem,0.2
Dynamics-Collision in 2-dimension,Rotational kinetic energy,0.2
Dynamics-Collision in 2-dimension,Angular momentum,0.2
Dynamics-Collision in 2-dimension,Conservation of angular momentum,0.2
Dynamics-Collision in 2-dimension,Newton’s law of gravitation,0.2
Dynamics-Collision in 2-dimension,Gravitational field,0.2
Dynamics-Collision in 2-dimension,Gravitational potential,0.2
Dynamics-Collision in 2-dimension,The motion of satellite,0.2
Dynamics-Collision in 2-dimension,Escape velocity,0.2
Dynamics-Collision in 2-dimension,Center of gravity,0.2
Dynamics-Collision in 2-dimension,Force equilibrium and torque equlilbrium,0.2
Angular displacement,Kinematics-Linear Motion,0.1
Angular displacement,Kinematics-Free Fall,0.2
Angular displacement,Kinematics-Projectile Motion,0.2
Angular displacement,Dynamics -Newton’s Laws of Motion,0.2
Angular displacement,Dynamics -Motion on inclined planes,0.2
Angular displacement,"Work, kinetic energy and potential energy",0.2
Angular displacement,Dynamics-Work-energy theorem,0.2
Angular displacement,Dynamics-Conservation of energy,0.2
Angular displacement,Dynamics-Power,0.2
Angular displacement,Dynamics-Linear momentum,0.2
Angular displacement,Dynamics-Conservation of linear momentum and impulse,0.1
Angular displacement,Dynamics-Elastic collision,0.1
Angular displacement,Dynamics-Inelastic collision,0.2
Angular displacement,Dynamics-Collision in 2-dimension,0.2
Angular displacement,Angular displacement,1
Angular displacement,Velocity and acceleration,0.5
Angular displacement,Relation between rotational motion and linear motion,0.5
Angular displacement,Rotational motion at constant angular acceleration,0.5
Angular displacement,Centripetal acceleration and centripetal force,0.5
Angular displacement,Rotational motion on horizontal and vertical planes,0.5
Angular displacement,Conical pendulum,0.5
Angular displacement,Centre of mass and torque,0.5
Angular displacement,Moment of inertia and parallel axis theorem,0.5
Angular displacement,Rotational kinetic energy,0.5
Angular displacement,Angular momentum,0.5
Angular displacement,Conservation of angular momentum,0.5
Angular displacement,Newton’s law of gravitation,0.2
Angular displacement,Gravitational field,0.2
Angular displacement,Gravitational potential,0.2
Angular displacement,The motion of satellite,0.2
Angular displacement,Escape velocity,0.2
Angular displacement,Center of gravity,0.2
Angular displacement,Force equilibrium and torque equlilbrium,0.2
